state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
North Carolina,1996-03-19,FALSE,FALSE,brown,black,81.63,81.63,167.64000000000001,167.64000000000001,female,black,76,76,264D
California,1969-05-04,FALSE,TRUE,blue,"brown,gray",49.885000000000005,54.42,124.46000000000001,124.46000000000001,female,white,48,48,265D
South Carolina,1999-03-06,TRUE,TRUE,brown,black,72.56,72.56,165.1,165.1,male,white,54,54,266D
Louisiana,1991-08-28,FALSE,TRUE,brown,brown,68.025,68.025,154.94,154.94,male,white,50,50,267D
Florida,1975-05-01,FALSE,FALSE,"brown,hazel",brown,61.222500000000004,61.222500000000004,154.94,154.94,male,white,20,20,268D
New Mexico,1981-02-01,FALSE,FALSE,brown,brown,81.63,81.63,190.5,190.5,male,white,26,26,269D
California,2005-07-03,FALSE,FALSE,brown,gray,54.42,54.42,124.46000000000001,124.46000000000001,female,asian,84,84,270D
Oregon,2005-04-22,FALSE,TRUE,brown,black,65.75750000000001,65.75750000000001,167.64000000000001,167.64000000000001,female,biracial,44,44,271D
California,2008-07-25,FALSE,FALSE,brown,brown,20.861,20.861,106.67999999999999,106.67999999999999,male,hispanic,6,6,272D
Maryland,2005-01-31,FALSE,TRUE,brown,black,72.56,72.56,165.1,165.1,male,hispanic,52,52,273D
Massachusetts,1986-04-13,FALSE,FALSE,brown,brown,63.49,63.49,160.02,160.02,female,white,25,25,274D
California,1982-08-16,FALSE,FALSE,brown,brown,72.56,77.095,182.88,182.88,male,white,23,23,275D
New Jersey,1999-12-18,FALSE,TRUE,blue,brown,72.56,74.8275,154.94,154.94,male,white,52,52,276D
Michigan,2002-12-01,FALSE,FALSE,brown,black,77.095,77.095,167.64000000000001,167.64000000000001,male,white,47,47,277D
California,1959-02-06,FALSE,FALSE,green,"blonde,sandy",65.75750000000001,65.75750000000001,190.5,190.5,male,white,20,20,278D
Massachusetts,1924-06-02,FALSE,FALSE,blue,black,68.025,68.025,172.72,172.72,male,white,19,19,279D
Utah,1994-03-22,FALSE,FALSE,brown,brown,74.8275,74.8275,154.94,154.94,male,native,36,36,280D
Alabama,1980-08-12,FALSE,TRUE,hazel,brown,58.955,58.955,157.48000000000002,157.48000000000002,female,white,14,14,281D
Colorado,1981-07-24,FALSE,FALSE,blue,blond,63.49,63.49,154.94,154.94,male,white,18,18,282D
South Carolina,1972-04-23,FALSE,FALSE,blue,blond,31.745,31.745,142.24,142.24,male,white,10,10,283D
Florida,1974-09-03,FALSE,TRUE,green,brown,45.35,45.35,157.48000000000002,157.48000000000002,female,white,16,16,284D
Kentucky,1993-11-14,FALSE,FALSE,brown,black,58.955,58.955,170.18,170.18,male,black,36,36,285D
Virginia,1999-05-05,TRUE,FALSE,brown,black,74.8275,74.8275,170.18,170.18,male,black,45,45,286D
Alabama,1985-07-29,FALSE,FALSE,blue,blond,72.56,72.56,187.96,187.96,male,white,36,36,287D
Pennsylvania,1996-10-24,FALSE,FALSE,brown,brown,63.49,63.49,175.26,175.26,male,white,37,37,288D
Louisiana,2006-02-27,FALSE,FALSE,brown,black,63.49,77.095,165.1,165.1,male,white,44,44,289D
California,1986-11-03,FALSE,TRUE,brown,black,54.42,54.42,152.4,152.4,female,hispanic,22,22,290D
Maryland,1994-04-11,TRUE,FALSE,brown,brown,63.49,63.49,167.64000000000001,167.64000000000001,male,white,22,22,291D
Virginia,1993-08-31,FALSE,FALSE,brown,black,68.025,68.025,154.94,154.94,male,black,15,15,292D
Canada,1992-06-18,FALSE,TRUE,brown,black,52.1525,52.1525,157.48000000000002,157.48000000000002,female,black,32,32,293D
California,1977-12-12,FALSE,TRUE,blue,blonde,58.955,58.955,167.64000000000001,167.64000000000001,female,white,39,39,294D
Maryland,2001-08-22,FALSE,FALSE,brown,brown,15.8725,15.8725,106.67999999999999,106.67999999999999,male,white,4,4,295D
California,2005-10-05,FALSE,TRUE,brown,brown,63.49,63.49,160.02,160.02,female,white,27,27,296D
Minnesota,1999-09-17,FALSE,FALSE,brown,black,49.885000000000005,49.885000000000005,162.56,162.56,female,east,26,26,297D
California,1973-11-25,TRUE,TRUE,blue,black,56.6875,56.6875,185.42,185.42,male,white,28,28,298D
California,2003-02-08,FALSE,FALSE,brown,brown,49.885000000000005,49.885000000000005,165.1,165.1,female,white,41,41,299D
Kentucky,2011-05-01,FALSE,FALSE,hazel,sandy,83.89750000000001,83.89750000000001,154.94,154.94,male,white,47,47,300D
California,2015-12-06,FALSE,TRUE,blue,brown,117.91,117.91,193.04,193.04,male,white,32,32,301D
Kentucky,1984-10-04,FALSE,FALSE,hazel,brown,68.025,68.025,165.1,165.1,male,white,12,12,302D
Arizona,1993-02-02,FALSE,FALSE,green,blond,68.025,72.56,154.94,154.94,male,white,23,23,303D
Arizona,2001-05-27,FALSE,FALSE,brown,black,16.7795,16.7795,91.44,91.44,male,black,3,3,304D
Arizona,1994-07-02,FALSE,FALSE,blue,brown,72.56,72.56,154.94,154.94,male,white,35,35,305D
